Date,Close,Volume
03/30/2025,2693.12,"4,329,013,536.00"
04/01/2025,2676.17,"4,585,014,666.00"
04/02/2025,2700.04,"3,909,435,984.00"
04/03/2025,2703.39,"5,760,465,354.00"
04/07/2025,2670.06,"4,803,351,148.80"
04/08/2025,2666.61,"3,738,128,274.00"
04/09/2025,2676.28,"5,164,787,376.00"
04/10/2025,2670.7,"4,055,727,060.00"
04/13/2025,2662.08,"4,104,768,096.00"
04/15/2025,2689.22,"4,855,004,496.00"
04/16/2025,2696.23,"4,911,296,706.00"
04/17/2025,2722.73,"4,395,077,586.00"
04/20/2025,2706.04,"3,911,833,584.00"
04/21/2025,2698.28,"6,211,715,731.20"
04/22/2025,2688.32,"5,382,226,656.00"
04/23/2025,2655.94,"5,469,575,904.00"
04/24/2025,2658.02,"3,787,438,176.00"
04/27/2025,2661.6,"4,525,547,040.00"
04/28/2025,2647.07,"4,855,082,047.20"
04/29/2025,2631.98,"5,665,970,736.00"
04/30/2025,2623.83,"4,874,937,426.00"
05/04/2025,2620.39,"5,711,611,554.00"
05/05/2025,2610.4,"4,648,339,008.00"
05/06/2025,2611.43,"5,915,744,586.00"
05/07/2025,2673.69,"4,162,346,154.00"
05/08/2025,2661.64,"3,894,091,344.00"
05/11/2025,2649.11,"4,256,970,714.00"
05/13/2025,2634.23,"4,880,160,306.00"
05/14/2025,2620.27,"5,082,747,426.00"
05/15/2025,2611.85,"4,973,629,050.00"
05/18/2025,2609.05,"3,925,415,250.00"
05/19/2025,2628.36,"6,670,767,916.80"
05/20/2025,2677.45,"6,061,446,450.00"
05/21/2025,2669.51,"6,372,507,834.00"
05/22/2025,2688.55,"6,596,021,250.00"
05/25/2025,2679.98,"5,693,964,336.00"
05/26/2025,2674.76,"5,437,990,252.80"
05/27/2025,2675.62,"3,794,281,056.00"
05/28/2025,2693.06,"4,012,231,824.00"
06/02/2025,2694.66,"4,815,466,156.80"
06/03/2025,2658.93,"5,418,646,866.00"
06/04/2025,2646.95,"5,517,070,650.00"
06/05/2025,2640.96,"5,566,185,504.00"
06/08/2025,2629.89,"5,192,689,194.00"
06/09/2025,2653.09,"4,984,269,832.80"
06/10/2025,2678.17,"4,585,954,266.00"
06/11/2025,2664.47,"6,158,662,146.00"
06/12/2025,2655.38,"5,679,617,616.00"
06/15/2025,2655.85,"4,996,201,050.00"
06/16/2025,2658.66,"4,797,736,876.80"
06/17/2025,2654.75,"4,469,780,250.00"
06/18/2025,2653.68,"4,101,230,016.00"
06/19/2025,2628.91,"5,297,057,514.00"
06/22/2025,2595.97,"5,592,701,466.00"
06/23/2025,2600.76,"5,396,751,532.80"
06/24/2025,2600.53,"6,432,022,026.00"
06/25/2025,2600.2,"3,764,957,760.00"
06/26/2025,2595.74,"4,390,427,664.00"
06/29/2025,2622.28,"5,136,210,576.00"
06/30/2025,2631.48,"7,428,334,867.20"
07/01/2025,2660.39,"5,735,155,554.00"
07/02/2025,2694.82,"4,857,786,576.00"
07/03/2025,2703.96,"5,602,246,704.00"
07/06/2025,2706.36,"5,603,620,464.00"
07/07/2025,2684.01,"4,493,759,320.80"
07/08/2025,2683.86,"5,063,313,024.00"
07/09/2025,2705.9,"6,819,179,940.00"
07/10/2025,2731.8,"4,664,151,360.00"
07/13/2025,2760.8,"4,146,348,960.00"
07/14/2025,2725.71,"5,148,570,664.80"
07/15/2025,2760.17,"4,624,477,866.00"
07/16/2025,2794.78,"4,694,079,456.00"
07/17/2025,2870.63,"3,923,852,346.00"
07/20/2025,2870.95,"5,644,078,650.00"
07/21/2025,2892.72,"5,300,875,699.20"
07/22/2025,2973.7,"5,810,953,860.00"
07/23/2025,2978.88,"5,324,923,296.00"
07/24/2025,2982.64,"4,022,362,944.00"
07/27/2025,2964.2,"6,076,748,160.00"
07/28/2025,2971.31,"6,580,562,968.80"
07/29/2025,3002.07,"4,193,510,706.00"
07/30/2025,2954.14,"4,552,997,904.00"
07/31/2025,2922.63,"3,944,350,746.00"
08/03/2025,2858.9,"5,315,117,940.00"
08/04/2025,2875.36,"6,840,427,276.80"
08/05/2025,2834.0,"5,890,896,000.00"
08/06/2025,2832.06,"4,069,277,424.00"
08/07/2025,2850.37,"5,739,693,786.00"
08/11/2025,2822.46,"7,445,986,732.80"
08/12/2025,2796.24,"5,014,871,424.00"
08/13/2025,2785.74,"4,476,611,664.00"
08/14/2025,2788.36,"5,650,557,264.00"
08/17/2025,2761.22,"4,890,774,096.00"
08/18/2025,2770.39,"6,959,881,864.80"
08/19/2025,2776.9,"4,206,375,540.00"
08/20/2025,2767.2,"4,361,816,160.00"
08/21/2025,2757.97,"5,686,305,066.00"
08/24/2025,2739.95,"5,569,801,650.00"
08/25/2025,2761.26,"6,124,124,620.80"
08/26/2025,2766.09,"4,201,763,994.00"
